Date,Open,High,Low,Close,Adj Close,Volume
12/4/1987,12.361629,12.926947,12.135501,12.32394,7.747454,2584000
12/7/1987,12.587755,12.964634,12.51238,12.889258,8.102844,2202600
12/8/1987,13.115386,13.416889,13.04001,13.416889,8.434535,3277500
12/9/1987,13.416889,14.170647,13.379201,13.982207,8.789926,3847300
12/10/1987,13.56764,14.622902,13.529953,14.095271,8.861,3582000
12/11/1987,14.170647,14.359086,13.793768,14.057583,8.837308,2122000
12/14/1987,13.982207,14.660589,13.94452,14.47215,9.202402,1843400
12/15/1987,14.735965,14.924405,14.47215,14.622902,9.298261,3349800
12/16/1987,14.585214,15.037468,14.396774,14.962092,9.51394,2345500
12/17/1987,14.924405,15.150532,14.698277,14.811341,9.418087,2341900
12/18/1987,14.962092,15.338971,14.773653,15.225908,9.681695,2940900
12/21/1987,15.150532,15.527411,15.075156,15.452035,9.825485,3020500
12/22/1987,15.452035,15.489723,15.112844,15.301284,9.729629,1938900
12/23/1987,15.376659,15.602787,15.301284,15.489723,9.849446,1972000
12/24/1987,15.489723,15.489723,15.18822,15.376659,9.777559,720300
12/28/1987,15.075156,15.150532,14.547525,14.698277,9.346193,2038400
12/29/1987,14.698277,14.849029,14.509838,14.849029,9.442056,1130600
12/30/1987,14.924405,15.263596,14.849029,15.150532,9.633766,1407900
12/31/1987,14.924405,14.999781,14.698277,14.999781,9.537908,701100
1/4/1988,15.075156,15.602787,15.075156,15.489723,9.849446,1608500
1/5/1988,15.602787,16.130417,15.602787,15.678163,9.969275,3416200
1/6/1988,15.828914,15.828914,15.376659,15.678163,9.969275,1782700
1/7/1988,15.640474,15.791226,15.376659,15.791226,10.041162,1255000
1/8/1988,15.640474,15.866602,14.095271,14.170647,9.010688,2894800
1/11/1988,14.547525,14.585214,14.019896,14.28371,9.082583,2879900
1/12/1988,14.132959,14.28371,13.416889,13.793768,8.771042,2504100
1/13/1988,13.643017,13.869143,13.379201,13.831456,8.795005,2474500
1/14/1988,14.019896,14.132959,13.869143,14.019896,8.914826,1609200
1/15/1988,14.849029,14.849029,14.208335,14.208335,9.034654,2662900
1/18/1988,14.28371,14.396774,13.869143,13.982207,8.890864,1053000
1/19/1988,13.831456,13.94452,13.56764,13.680704,8.699144,1296100
1/20/1988,13.416889,13.416889,11.60787,12.32394,7.836425,8219100
1/21/1988,12.663132,12.663132,12.097813,12.32394,7.836425,4526300
1/22/1988,12.51238,12.700819,12.32394,12.663132,8.052105,2784300
1/25/1988,12.663132,13.115386,12.625443,12.889258,8.195893,1393600
1/26/1988,12.813883,12.851571,12.437004,12.663132,8.052105,1650000
1/27/1988,12.700819,12.813883,12.210876,12.286252,7.812458,2497400
1/28/1988,12.437004,12.625443,12.286252,12.625443,8.028143,1379700
1/29/1988,12.889258,12.889258,12.399316,12.663132,8.052105,2516700
2/1/1988,12.889258,12.964634,12.550068,12.550068,7.980213,2109000
2/2/1988,12.51238,12.625443,12.286252,12.51238,7.956244,2394300
2/3/1988,12.361629,12.437004,11.909373,12.097813,7.692633,2423100
2/4/1988,12.097813,12.286252,12.022437,12.286252,7.812458,2166100
2/5/1988,12.399316,12.700819,12.361629,12.474691,7.93228,1397900
2/8/1988,12.286252,12.474691,12.248565,12.286252,7.812458,917400
2/9/1988,12.399316,12.51238,12.210876,12.51238,7.956244,1355200
2/10/1988,12.700819,13.153074,12.663132,13.115386,8.339681,3160400
2/11/1988,13.04001,13.492265,13.002322,13.341514,8.483469,1548500
2/12/1988,13.341514,13.529953,13.190762,13.341514,8.483469,1579700
2/16/1988,13.266137,13.529953,13.190762,13.529953,8.603293,762400
2/17/1988,13.605329,13.75608,13.379201,13.454576,8.555362,1643400
2/18/1988,13.379201,13.56764,13.266137,13.341514,8.483469,1822800
2/19/1988,13.115386,13.492265,13.115386,13.454576,8.555362,1566100
2/22/1988,13.492265,14.547525,13.416889,14.132959,8.986725,2654300
